solvent,solute,DGsolv_cosmo,index,can_smiles_solvent,can_smiles_solute,Atom_bond_type_overlap_with_exp,DGsolv,AE,Signed_Err,concat_smiles
Cc1nc(C)ccc1,ClC(Cl)C(C)=O,-4.88394118,237867,Cc1cccc(C)n1,CC(=O)C(Cl)Cl,Y,-4.8838496,9.158000000031308e-05,9.158000000031308e-05,CC(=O)C(Cl)Cl.Cc1cccc(C)n1
OCCCCCCCCCC,CC(NCC(O)c(ccc2O)cc2C(=O)N)CCc1ccccc1,-21.64709632,649598,CCCCCCCCCCO,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,Y,-21.647215,0.00011867999999992662,-0.00011867999999992662,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1.CCCCCCCCCCO
OCCCl,Clc(ccc1N)cc1N,-11.14816345,633041,OCCCl,Nc1ccc(Cl)cc1N,Y,-11.148291,0.00012755000000019834,-0.00012755000000019834,Nc1ccc(Cl)cc1N.OCCCl
OCCCCCCCCCC,OCN1C(=O)NC(C1(C)C)=O,-11.78450444,369847,CCCCCCCCCCO,CC1(C)C(=O)NC(=O)N1CO,Y,-11.784373,0.00013143999999876144,0.00013143999999876144,CC1(C)C(=O)NC(=O)N1CO.CCCCCCCCCCO
ClCC(C)C,CC1(C)C(C1C(OCc3cc(Oc2ccccc2)ccc3)=O)C=C(Cl)Cl,-18.3478295,498542,CC(C)CCl,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,Y,-18.347647,0.00018250000000108457,0.00018250000000108457,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1.CC(C)CCl
ClC(Cl)=O,OC1=C(O)C=C2C=CNC2=C1,-11.66043914,644211,O=C(Cl)Cl,Oc1cc2cc[nH]c2cc1O,Y,-11.66064,0.00020086000000141269,-0.00020086000000141269,Oc1cc2cc[nH]c2cc1O.O=C(Cl)Cl
CCCCCN(CCCCC)CCCCC,[NH3+]C(Cc1ccccc1)C([O-])=O,-8.85060574,993683,CCCCCN(CCCCC)CCCCC,[NH3+]C(Cc1ccccc1)C(=O)[O-],Y,-8.850826,0.00022025999999897294,-0.00022025999999897294,[NH3+]C(Cc1ccccc1)C(=O)[O-].CCCCCN(CCCCC)CCCCC
Nc1ccccc1,Cc1occc1,-4.04968876,977756,Nc1ccccc1,Cc1ccco1,Y,-4.049919,0.0002302399999996041,-0.0002302399999996041,Cc1ccco1.Nc1ccccc1
NCCN,CCC(Cl)(Cl)N(=O)=O,-4.80462906,714465,NCCN,CCC(Cl)(Cl)[N+](=O)[O-],Y,-4.8049784,0.0003493400000005309,-0.0003493400000005309,CCC(Cl)(Cl)[N+](=O)[O-].NCCN
OCc1occc1,CCOCc(ccc1O)cc1OC,-10.30640667,110572,OCc1ccco1,CCOCc1ccc(O)c(OC)c1,Y,-10.306765,0.0003583300000009615,-0.0003583300000009615,CCOCc1ccc(O)c(OC)c1.OCc1ccco1
