solvent,solute,DGsolv_cosmo,index,can_smiles_solvent,can_smiles_solute,Atom_bond_type_overlap_with_exp,DGsolv,AE,Signed_Err,concat_smiles
NCCCN,OCCCCCCCCCCCCCCCCC,-12.28016015,434630,NCCCN,CCCCCCCCCCCCCCCCCO,Y,-12.280203,4.2849999999816646e-05,-4.2849999999816646e-05,CCCCCCCCCCCCCCCCCO.NCCCN
CC(C)OC(C)C,OC1=CC=C(C2=C1C(=O)C1=C(O)C=CC=C1O2)[N+]([O-])=O,-14.60548361,999889,CC(C)OC(C)C,O=c1c2c(O)cccc2oc2c([N+](=O)[O-])ccc(O)c12,Y,-14.605391,9.261000000115871e-05,9.261000000115871e-05,O=c1c2c(O)cccc2oc2c([N+](=O)[O-])ccc(O)c12.CC(C)OC(C)C
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,NC(N)=Nc(sc1)nc1CSCCC(N)=NS(=O)(=O)N,-17.8086879,709787,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,Y,-17.808489,0.00019889999999733732,0.00019889999999733732,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1.CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C
O=CN,CC(C)(C)c(cc1C(C)(C)C)cc(C(C)(C)C)c1N=O,-7.31188934,393650,NC=O,CC(C)(C)c1cc(C(C)(C)C)c(N=O)c(C(C)(C)C)c1,Y,-7.3116245,0.0002648399999998219,0.0002648399999998219,CC(C)(C)c1cc(C(C)(C)C)c(N=O)c(C(C)(C)C)c1.NC=O
NCCCN(C)C,O=S(c1ccccc1)(=O)N,-15.26440856,116593,CN(C)CCCN,NS(=O)(=O)c1ccccc1,Y,-15.264127,0.0002815599999994589,0.0002815599999994589,NS(=O)(=O)c1ccccc1.CN(C)CCCN
OCC1CCCO1,OCC(C)=O,-5.64900242,348439,OCC1CCCO1,CC(=O)CO,Y,-5.648706,0.00029642000000063007,0.00029642000000063007,CC(=O)CO.OCC1CCCO1
C1OC1,CCCCCCCCP(CCCCCCCC)(CCCCCCCC)=S,-20.23345457,125131,C1CO1,CCCCCCCCP(=S)(CCCCCCCC)CCCCCCCC,Y,-20.233147,0.0003075700000003678,0.0003075700000003678,CCCCCCCCP(=S)(CCCCCCCC)CCCCCCCC.C1CO1
N1CCCCC1,Nc1cc(Br)cc(Br)c1,-13.27907203,506118,C1CCNCC1,Nc1cc(Br)cc(Br)c1,Y,-13.279396,0.0003239700000001733,-0.0003239700000001733,Nc1cc(Br)cc(Br)c1.C1CCNCC1
OCCN,Clc2cc(I)c1cccnc1c2O,-10.63506712,794737,NCCO,Oc1c(Cl)cc(I)c2cccnc12,Y,-10.634735,0.00033212000000126807,0.00033212000000126807,Oc1c(Cl)cc(I)c2cccnc12.NCCO
OCCCl,CN1CC(=CCC1)C(O)=O,-11.70732255,197002,OCCCl,CN1CCC=C(C(=O)O)C1,Y,-11.706974,0.000348550000000003,0.000348550000000003,CN1CCC=C(C(=O)O)C1.OCCCl
CC(C)N(=O)=O,CC(CC1)CS1(=O)=O,-10.25650421,587215,CC(C)[N+](=O)[O-],CC1CCS(=O)(=O)C1,Y,-10.256107,0.0003972099999991485,0.0003972099999991485,CC1CCS(=O)(=O)C1.CC(C)[N+](=O)[O-]
C#N,CC(C)CCCC(C)(CC)OC(C)=O,-10.01827836,770631,C#N,CCC(C)(CCCC(C)C)OC(C)=O,Y,-10.017801,0.0004773599999996492,0.0004773599999996492,CCC(C)(CCCC(C)C)OC(C)=O.C#N
NC(C)C,CCOC(CO)=O,-7.3506544,431113,CC(C)N,CCOC(=O)CO,Y,-7.350047,0.0006073999999998136,0.0006073999999998136,CCOC(=O)CO.CC(C)N
ClCBr,CC(OC2=Cc1ccccc1C2=C3C)=C3C,-13.23398132,35502,ClCBr,Cc1oc2cc3ccccc3c-2c(C)c1C,Y,-13.233321,0.0006603199999997145,0.0006603199999997145,Cc1oc2cc3ccccc3c-2c(C)c1C.ClCBr
CC(CC1)CS1(=O)=O,CCC(=O)Nc(ccc1Cl)cc1Cl,-14.01049105,117633,CC1CCS(=O)(=O)C1,CCC(=O)Nc1ccc(Cl)c(Cl)c1,Y,-14.009759,0.0007320499999998731,0.0007320499999998731,CCC(=O)Nc1ccc(Cl)c(Cl)c1.CC1CCS(=O)(=O)C1
CCCBr,OC(=O)c1ccc(O)cc1O,-11.22340217,244876,CCCBr,O=C(O)c1ccc(O)cc1O,Y,-11.224155,0.0007528299999997046,-0.0007528299999997046,O=C(O)c1ccc(O)cc1O.CCCBr
CCCCCCOC(C)=O,OC1=CC2=C(NC(=N)N2)C=C1,-15.60809232,627214,CCCCCCOC(C)=O,N=c1[nH]c2ccc(O)cc2[nH]1,Y,-15.608868,0.000775679999998502,-0.000775679999998502,N=c1[nH]c2ccc(O)cc2[nH]1.CCCCCCOC(C)=O
O=CN,C3c1ccccc1Cn2nnnc2C3,-14.35216586,105777,NC=O,c1ccc2c(c1)CCc1nnnn1C2,Y,-14.351344,0.0008218600000002851,0.0008218600000002851,c1ccc2c(c1)CCc1nnnn1C2.NC=O
CN1CCCC1=O,FC(F)OC(F)C(F)(F)F,-4.05890266,264267,CN1CCCC1=O,FC(F)OC(F)C(F)(F)F,Y,-4.0597277,0.0008250399999996105,-0.0008250399999996105,FC(F)OC(F)C(F)(F)F.CN1CCCC1=O
Nc1ccccc1,CC1=C(C)N(C)C(=S)N1C,-13.57304974,524539,Nc1ccccc1,Cc1c(C)n(C)c(=S)n1C,Y,-13.573995,0.0009452599999999478,-0.0009452599999999478,Cc1c(C)n(C)c(=S)n1C.Nc1ccccc1
CCOc1ccccc1,BrC1=CNC(=O)N=C1N,-13.69879165,250529,CCOc1ccccc1,Nc1nc(=O)[nH]cc1Br,Y,-13.697816,0.0009756500000008828,0.0009756500000008828,Nc1nc(=O)[nH]cc1Br.CCOc1ccccc1
CN(C)P(=O)(N(C)C)N(C)C,Cc1ccc(cc1)S(=O)(=O)NCl,-15.37523497,711056,CN(C)P(=O)(N(C)C)N(C)C,Cc1ccc(S(=O)(=O)NCl)cc1,Y,-15.374251,0.0009839700000000562,0.0009839700000000562,Cc1ccc(S(=O)(=O)NCl)cc1.CN(C)P(=O)(N(C)C)N(C)C
CCOC(C)=O,FC(F)(F)S(=O)(=O)N=C(c1ccccc1)NS(C(F)(F)F)(=O)=O,-16.94650218,302417,CCOC(C)=O,O=S(=O)(N=C(NS(=O)(=O)C(F)(F)F)c1ccccc1)C(F)(F)F,Y,-16.947495,0.0009928200000004495,-0.0009928200000004495,O=S(=O)(N=C(NS(=O)(=O)C(F)(F)F)c1ccccc1)C(F)(F)F.CCOC(C)=O
CN1CCCC1,Cc1cccc(c1N)N(=O)=O,-11.15755604,979755,CN1CCCC1,Cc1cccc([N+](=O)[O-])c1N,Y,-11.156545,0.001011039999999852,0.001011039999999852,Cc1cccc([N+](=O)[O-])c1N.CN1CCCC1
CC1OC1,FC(F)(F)C(F)(F)C(F)(O)C(F)(F)F,-6.75733675,839044,CC1CO1,OC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,Y,-6.7583995,0.0010627500000000012,-0.0010627500000000012,OC(F)(C(F)(F)F)C(F)(F)C(F)(F)F.CC1CO1
Cc1cc(C)cc(C)c1,CC2(C1CCC=CCC=CCCCO1)CCC=C(C)CC=CC(C)(C)CCO2,-18.091595,361315,Cc1cc(C)cc(C)c1,CC1=CCCC(C)(C2CCC=CCC=CCCCO2)OCCC(C)(C)C=CC1,Y,-18.092669,0.0010739999999991312,-0.0010739999999991312,CC1=CCCC(C)(C2CCC=CCC=CCCCO2)OCCC(C)(C)C=CC1.Cc1cc(C)cc(C)c1
OCc1occc1,C1C2=C(C=CC=C2)C2=NNC(=C12)C1=CC=NC=C1,-18.36967695,589381,OCc1ccco1,c1ccc2c(c1)Cc1c-2n[nH]c1-c1ccncc1,Y,-18.37085,0.0011730500000020072,-0.0011730500000020072,c1ccc2c(c1)Cc1c-2n[nH]c1-c1ccncc1.OCc1ccco1
