solvent,solute,DGsolv_cosmo,index,can_smiles_solvent,can_smiles_solute,Atom_bond_type_overlap_with_exp,DGsolv,AE,Signed_Err,concat_smiles
CN(C)C=O,Nc(ccc1O)cc1N(=O)=O,-13.38993486,543229,CN(C)C=O,Nc1ccc(O)c([N+](=O)[O-])c1,Y,-13.38994,5.1399999989598655e-06,-5.1399999989598655e-06,Nc1ccc(O)c([N+](=O)[O-])c1.CN(C)C=O
C1OC1,OC(=O)C#C,-8.22663459,904011,C1CO1,C#CC(=O)O,Y,-8.226616,1.8589999999818474e-05,1.8589999999818474e-05,C#CC(=O)O.C1CO1
CC(CC1)CS1(=O)=O,CN(C)c1ccc(C#N)cc1,-11.71185909,61711,CC1CCS(=O)(=O)C1,CN(C)c1ccc(C#N)cc1,Y,-11.711715,0.0001440900000009293,0.0001440900000009293,CN(C)c1ccc(C#N)cc1.CC1CCS(=O)(=O)C1
FC(F)C(F)C(F)(F)F,OC(=O)CN1C2=CC=CC=C2C(=O)C2=CC=CC=C12,-16.29696793,939686,FC(F)C(F)C(F)(F)F,O=C(O)Cn1c2ccccc2c(=O)c2ccccc21,Y,-16.297165,0.00019706999999868913,-0.00019706999999868913,O=C(O)Cn1c2ccccc2c(=O)c2ccccc21.FC(F)C(F)C(F)(F)F
CNC(C)=O,FC(F)C(F)(F)OC(O)C(F)(F)F,-8.48359776,294033,CNC(C)=O,OC(OC(F)(F)C(F)F)C(F)(F)F,Y,-8.483354,0.00024376000000003728,0.00024376000000003728,OC(OC(F)(F)C(F)F)C(F)(F)F.CNC(C)=O
O=C1CCCO1,Oc1ccc(cc1)C=CC(O)=O,-17.82365711,80287,O=C1CCCO1,O=C(O)C=Cc1ccc(O)cc1,Y,-17.823387,0.00027010999999887986,0.00027010999999887986,O=C(O)C=Cc1ccc(O)cc1.O=C1CCCO1
CC(CC(C)=O)=O,Nc(ccc1O)cc1N(=O)=O,-12.49409653,402077,CC(=O)CC(C)=O,Nc1ccc(O)c([N+](=O)[O-])c1,Y,-12.4943695,0.00027296999999926186,-0.00027296999999926186,Nc1ccc(O)c([N+](=O)[O-])c1.CC(=O)CC(C)=O
CN(C)C=O,FC(F)(F)C(=O)N,-9.89141696,751087,CN(C)C=O,NC(=O)C(F)(F)F,Y,-9.891797,0.0003800399999995818,-0.0003800399999995818,NC(=O)C(F)(F)F.CN(C)C=O
OCCc1ccccc1,CCCC(F)C(F)(F)N,-5.69027966,612946,OCCc1ccccc1,CCCC(F)C(N)(F)F,Y,-5.690762,0.0004823400000004696,-0.0004823400000004696,CCCC(F)C(N)(F)F.OCCc1ccccc1
Cc1ccccn1,C1CC1C(C3CC3)(C2CC2)C(C6CC6)(C5CC5)C4CC4,-11.37997464,105304,Cc1ccccn1,C1CC1C(C1CC1)(C1CC1)C(C1CC1)(C1CC1)C1CC1,Y,-11.38046,0.00048535999999899104,-0.00048535999999899104,C1CC1C(C1CC1)(C1CC1)C(C1CC1)(C1CC1)C1CC1.Cc1ccccn1
CC(C)CC(C)(C)C,C(N(Cc2ccccc2)Cc1ccccc1)c3ccccc3,-14.3814885,712929,CC(C)CC(C)(C)C,c1ccc(CN(Cc2ccccc2)Cc2ccccc2)cc1,Y,-14.380997,0.0004914999999989789,0.0004914999999989789,c1ccc(CN(Cc2ccccc2)Cc2ccccc2)cc1.CC(C)CC(C)(C)C
