solvent,solute,DGsolv_cosmo,index,can_smiles_solvent,can_smiles_solute,Atom_bond_type_overlap_with_exp,DGsolv,AE,Signed_Err,concat_smiles
OCc1ccccc1,OC(=O)c(cccc1O)c1O,-11.74944131,472949,OCc1ccccc1,O=C(O)c1cccc(O)c1O,Y,-11.749286999999999,0.00015431000000099004,0.00015431000000099004,O=C(O)c1cccc(O)c1O.OCc1ccccc1
OCCCCCO,NNC(=O)C(=O)NN,-10.53657803,755782,OCCCCCO,NNC(=O)C(=O)NN,Y,-10.536918,0.0003399700000006334,-0.0003399700000006334,NNC(=O)C(=O)NN.OCCCCCO
ClC(Cl)C(O)=O,OC(C)c(cc1)ccc1C,-11.66368766,724468,O=C(O)C(Cl)Cl,Cc1ccc(C(C)O)cc1,Y,-11.663186,0.0005016600000011806,0.0005016600000011806,Cc1ccc(C(C)O)cc1.O=C(O)C(Cl)Cl
NC(C)C,CNc1ccncc1,-11.30828073,244273,CC(C)N,CNc1ccncc1,Y,-11.3088,0.0005192699999998496,-0.0005192699999998496,CNc1ccncc1.CC(C)N
CCOC(CCC)=O,OC1=C(Br)C=C(C=C1Br)C1=NC2=C(O1)C=CC=C2,-15.89189699,928252,CCCC(=O)OCC,Oc1c(Br)cc(-c2nc3ccccc3o2)cc1Br,Y,-15.892555999999999,0.0006590099999996823,-0.0006590099999996823,Oc1c(Br)cc(-c2nc3ccccc3o2)cc1Br.CCCC(=O)OCC
OC(C)C,CCC(C(C)C)C=CC(C)C(CCC1C3CC=C2CC(O)CCC42C)C1(C)CCC43,-19.13195618,426020,CC(C)O,CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,Y,-19.130860000000002,0.0010961799999975597,0.0010961799999975597,CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C.CC(C)O
CN(=O)=O,CNC(=S)N(C)C,-11.65559427,794650,C[N+](=O)[O-],CNC(=S)N(C)C,Y,-11.654494999999999,0.0010992700000009847,0.0010992700000009847,CNC(=S)N(C)C.C[N+](=O)[O-]
FC(F)C,CP(Cl)(Cl)=O,-6.83111532,749373,CC(F)F,CP(=O)(Cl)Cl,Y,-6.832438000000001,0.0013226800000003536,-0.0013226800000003536,CP(=O)(Cl)Cl.CC(F)F
n1ccccc1,FC1(F)OC(C(F)(F)C1(F)F)=O,-2.42659972,696402,c1ccncc1,O=C1OC(F)(F)C(F)(F)C1(F)F,Y,-2.4252567000000003,0.0013430199999997505,0.0013430199999997505,O=C1OC(F)(F)C(F)(F)C1(F)F.c1ccncc1
COC(CC#N)=O,COc1ccn(cc1)=O,-10.65382531,972322,COC(=O)CC#N,COc1cc[n+]([O-])cc1,Y,-10.652358999999999,0.001466310000001414,0.001466310000001414,COc1cc[n+]([O-])cc1.COC(=O)CC#N
O1CCCC1,C1OCOCOCO1,-7.89206319,575419,C1CCOC1,C1OCOCOCO1,Y,-7.8936615,0.0015983100000003247,-0.0015983100000003247,C1OCOCOCO1.C1CCOC1
ClCBr,OCC2OC(C(O)C(O)C2Cl)OC1(CCl)OC(CCl)C(O)C1O,-19.95774757,778831,ClCBr,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,Y,-19.956064,0.001683569999997303,0.001683569999997303,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl.ClCBr
CCCl,CC(Nc1ccccc1)=Nc(cc2)ccc2N(=O)=O,-18.79066715,333455,CCCl,CC(=Nc1ccc([N+](=O)[O-])cc1)Nc1ccccc1,Y,-18.788725,0.0019421500000014191,0.0019421500000014191,CC(=Nc1ccc([N+](=O)[O-])cc1)Nc1ccccc1.CCCl
