solvent,solute,DGsolv_cosmo,index,can_smiles_solvent,can_smiles_solute,Atom_bond_type_overlap_with_exp,DGsolv,AE,Signed_Err,concat_smiles
C1OCCOC1,CCCCCCC=CC(=O)N,-12.11549009,24102,C1COCCO1,CCCCCCC=CC(N)=O,Y,-12.115456,3.4089999999764586e-05,3.4089999999764586e-05,CCCCCCC=CC(N)=O.C1COCCO1
NCCCC,Nc1ccc(N)cc1,-9.99579089,372288,CCCCN,Nc1ccc(N)cc1,Y,-9.995854,6.31099999992557e-05,-6.31099999992557e-05,Nc1ccc(N)cc1.CCCCN
C#N,CC(CCC1C(C)(C)S)CC1=O,-11.90339452,451578,C#N,CC1CCC(C(C)(C)S)C(=O)C1,Y,-11.903304,9.052000000053795e-05,9.052000000053795e-05,CC1CCC(C(C)(C)S)C(=O)C1.C#N
OCCO,Nc2cc1cccnc1cc2,-12.52757311,510019,OCCO,Nc1ccc2ncccc2c1,Y,-12.527451,0.00012211000000128536,0.00012211000000128536,Nc1ccc2ncccc2c1.OCCO
ClC(Cl)Cl,OC(=O)CCC(=O)C(O)=O,-8.47422214,75909,ClC(Cl)Cl,O=C(O)CCC(=O)C(=O)O,Y,-8.474359,0.00013685999999957232,-0.00013685999999957232,O=C(O)CCC(=O)C(=O)O.ClC(Cl)Cl
CCCCNCCCC,COc(ccc1C(C)=O)cc1O,-8.99208931,146129,CCCCNCCCC,COc1ccc(C(C)=O)c(O)c1,Y,-8.992352,0.00026268999999956577,-0.00026268999999956577,COc1ccc(C(C)=O)c(O)c1.CCCCNCCCC
CCCCCCCCCCCCCCC=C,CCN(CC)c2ccc(cc2)C(=O)c(cc1)ccc1N(CC)CC,-17.20493787,934276,C=CCCCCCCCCCCCCCC,CCN(CC)c1ccc(C(=O)c2ccc(N(CC)CC)cc2)cc1,Y,-17.204588,0.00034986999999730983,0.00034986999999730983,CCN(CC)c1ccc(C(=O)c2ccc(N(CC)CC)cc2)cc1.C=CCCCCCCCCCCCCCC
CC(C)OC(C)C,OC(=O)C(=O)N,-7.28269221,108583,CC(C)OC(C)C,NC(=O)C(=O)O,Y,-7.283065,0.00037278999999923457,-0.00037278999999923457,NC(=O)C(=O)O.CC(C)OC(C)C
OCC1CCCO1,Cc1ccccc1NC(=N)NC(=N)N,-18.5151414,303237,OCC1CCCO1,Cc1ccccc1NC(=N)NC(=N)N,Y,-18.515718,0.0005765999999987059,-0.0005765999999987059,Cc1ccccc1NC(=N)NC(=N)N.OCC1CCCO1
CCC(O)(C)C,CC1=C(C)S(CCS1(=O)=O)(=O)=O,-11.91467586,670784,CCC(C)(C)O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,Y,-11.91531,0.0006341400000007269,-0.0006341400000007269,CC1=C(C)S(=O)(=O)CCS1(=O)=O.CCC(C)(C)O
CC1OC(OC1)=O,CC1=C(C)N(C)C(=S)N1C,-12.34043162,228585,CC1COC(=O)O1,Cc1c(C)n(C)c(=S)n1C,Y,-12.341139,0.0007073799999997021,-0.0007073799999997021,Cc1c(C)n(C)c(=S)n1C.CC1COC(=O)O1
CCBr,CCCCCCCCC=CCCCCCCCC(OCC(O)COC(CCCCCCCC=CCCCCCCCC)=O)=O,-32.01900103,122078,CCBr,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COC(=O)CCCCCCCC=CCCCCCCCC,Y,-32.018055,0.0009460300000014854,0.0009460300000014854,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COC(=O)CCCCCCCC=CCCCCCCCC.CCBr
Cc1ncccc1C,C(CCC1c2cccnc2)N1,-9.55303396,643730,Cc1cccnc1C,c1cncc(C2CCCN2)c1,Y,-9.554019,0.0009850399999997705,-0.0009850399999997705,c1cncc(C2CCCN2)c1.Cc1cccnc1C
NCCCN,COC(C)COCC(O)C,-9.36824061,946522,NCCCN,COC(C)COCC(C)O,Y,-9.369265,0.001024389999999542,-0.001024389999999542,COC(C)COCC(C)O.NCCCN
CSC,OC1COC2C1OCC2O,-10.01523497,850892,CSC,OC1COC2C(O)COC12,Y,-10.014174,0.0010609699999992728,0.0010609699999992728,OC1COC2C(O)COC12.CSC
Fc1c(F)c(F)c(F)c(F)c1F,FC(F)(F)C(O)OC(C(F)(F)F)=O,-4.45983123,535932,Fc1c(F)c(F)c(F)c(F)c1F,O=C(OC(O)C(F)(F)F)C(F)(F)F,Y,-4.4609227,0.0010914700000004274,-0.0010914700000004274,O=C(OC(O)C(F)(F)F)C(F)(F)F.Fc1c(F)c(F)c(F)c(F)c1F
C(c2ccccc2)c1ccccc1,Nc2ccc(cc2)S(=O)(=O)Nc(no1)cc1C,-17.43343496,394617,c1ccc(Cc2ccccc2)cc1,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,Y,-17.434645,0.0012100400000001343,-0.0012100400000001343,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1.c1ccc(Cc2ccccc2)cc1
O,CC(C)CCCC(C)CCCC(C)CCCC(C)=O,-2.17548605,279913,O,CC(=O)CCCC(C)CCCC(C)CCCC(C)C,Y,-2.174275,0.0012110499999997693,0.0012110499999997693,CC(=O)CCCC(C)CCCC(C)CCCC(C)C.O
CC(C)OC(C)C,Oc1cc(O)ncn1,-10.9379183,187827,CC(C)OC(C)C,Oc1cc(O)ncn1,Y,-10.939139,0.0012207000000010737,-0.0012207000000010737,Oc1cc(O)ncn1.CC(C)OC(C)C
ClC(Cl)C(Cl)Cl,CCCCCCCCCCCCCCCCCCCCCC(O)=O,-17.8577293,121232,ClC(Cl)C(Cl)Cl,CCCCCCCCCCCCCCCCCCCCCC(=O)O,Y,-17.856346,0.0013833000000005313,0.0013833000000005313,CCCCCCCCCCCCCCCCCCCCCC(=O)O.ClC(Cl)C(Cl)Cl
