solvent,solute,DGsolv_cosmo,index,can_smiles_solvent,can_smiles_solute,Atom_bond_type_overlap_with_exp,DGsolv,AE,Signed_Err,concat_smiles
OC(C)C,Clc2cc1non(=O)c1cc2,-7.96383092,722101,CC(C)O,[O-][n+]1onc2cc(Cl)ccc21,Y,-7.9638257,5.220000000250025e-06,5.220000000250025e-06,[O-][n+]1onc2cc(Cl)ccc21.CC(C)O
OCCN,CC1OC(OC1)c(ccc2O)cc2OC,-13.1347389,979918,NCCO,COc1cc(C2OCC(C)O2)ccc1O,Y,-13.134601,0.00013790000000035718,0.00013790000000035718,COc1cc(C2OCC(C)O2)ccc1O.NCCO
CC(C)(C)CC(C)=C,Nc1ccc(cc1N)N(=O)=O,-9.9717179,151089,C=C(C)CC(C)(C)C,Nc1ccc([N+](=O)[O-])cc1N,Y,-9.971447,0.0002709000000002959,0.0002709000000002959,Nc1ccc([N+](=O)[O-])cc1N.C=C(C)CC(C)(C)C
C=CC=C,CN(C)CC(O)=O,-7.94543699,215647,C=CC=C,CN(C)CC(=O)O,Y,-7.9451003,0.0003366900000001394,0.0003366900000001394,CN(C)CC(=O)O.C=CC=C
C=Cc1ccccc1,OC(=O)c3cc1ccccc1c(Cc(c4O)c2ccccc2cc4C(O)=O)c3O,-21.95735942,354078,C=Cc1ccccc1,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O,Y,-21.95701,0.0003494199999991565,0.0003494199999991565,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O.C=Cc1ccccc1
S=C=S,Nc1sc(cn1)N(=O)=O,-9.52656683,430541,S=C=S,Nc1ncc([N+](=O)[O-])s1,Y,-9.527072,0.0005051700000002768,-0.0005051700000002768,Nc1ncc([N+](=O)[O-])s1.S=C=S
CCOC(OCC)=O,NC(=N)C1=CC2=C(C=C1)N=C(N2)C1=C(O)C=CC=N1,-19.98946175,105439,CCOC(=O)OCC,N=C(N)c1ccc2nc(-c3ncccc3O)[nH]c2c1,Y,-19.990076,0.000614249999998151,-0.000614249999998151,N=C(N)c1ccc2nc(-c3ncccc3O)[nH]c2c1.CCOC(=O)OCC
NCCC,[NH3+]CC(=O)NCC([O-])=O,-16.40487465,990696,CCCN,[NH3+]CC(=O)NCC(=O)[O-],Y,-16.405663,0.0007883500000005483,-0.0007883500000005483,[NH3+]CC(=O)NCC(=O)[O-].CCCN
OCc1occc1,OC1OC(C(O)C(O)C1O)C(O)=O,-16.23369185,207957,OCc1ccco1,O=C(O)C1OC(O)C(O)C(O)C1O,Y,-16.232569,0.0011228499999980102,0.0011228499999980102,O=C(O)C1OC(O)C(O)C(O)C1O.OCc1ccco1
CN(C)P(=O)(N(C)C)N(C)C,CN(C)c1ccncc1,-9.21280316,131891,CN(C)P(=O)(N(C)C)N(C)C,CN(C)c1ccncc1,Y,-9.211584,0.0012191599999997749,0.0012191599999997749,CN(C)c1ccncc1.CN(C)P(=O)(N(C)C)N(C)C
