solvent,solute,DGsolv_cosmo,index,can_smiles_solvent,can_smiles_solute,Atom_bond_type_overlap_with_exp,DGsolv,AE,Signed_Err,concat_smiles
N1CCCC1,OC(c1cncnc1)(c(cc2)ccc2Cl)c3ccccc3Cl,-20.9120568,612194,C1CCNC1,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,Y,-20.912252,0.00019520000000028404,-0.00019520000000028404,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl.C1CCNC1
N1CCCC1,OC(=O)Cc1c2cc(F)ccc2c(c1C)=Cc(cc3)ccc3S(C)=O,-25.27142921,853368,C1CCNC1,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,Y,-25.271042,0.0003872099999995271,0.0003872099999995271,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1.C1CCNC1
N#CCCCCC#N,O=C(NC1=O)NC(=O)C1=O,-15.55952707,437823,N#CCCCCC#N,O=C1NC(=O)C(=O)C(=O)N1,Y,-15.559063,0.00046406999999959453,0.00046406999999959453,O=C1NC(=O)C(=O)C(=O)N1.N#CCCCCC#N
CN1CCCC1=O,FC(F)(F)C(CC(=O)c1ccccc1)=O,-10.12066175,739566,CN1CCCC1=O,O=C(CC(=O)C(F)(F)F)c1ccccc1,Y,-10.121371,0.0007092499999998836,-0.0007092499999998836,O=C(CC(=O)C(F)(F)F)c1ccccc1.CN1CCCC1=O
CCN1CCCC1=O,Oc1ccccc1C(=O)NN,-13.01815253,452254,CCN1CCCC1=O,NNC(=O)c1ccccc1O,Y,-13.017282,0.000870530000000258,0.000870530000000258,NNC(=O)c1ccccc1O.CCN1CCCC1=O
OCCc1ccccc1,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-9.1896503,668399,OCCc1ccccc1,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Y,-9.188618,0.001032300000000319,0.001032300000000319,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl.OCCc1ccccc1
CCNC=O,Oc2ccccc2c1ccccc1,-11.75732937,690833,CCNC=O,Oc1ccccc1-c1ccccc1,Y,-11.75592,0.0014093700000010756,0.0014093700000010756,Oc1ccccc1-c1ccccc1.CCNC=O
CCC#N,OCC(CO)(CO)CC,-9.2379393,839474,CCC#N,CCC(CO)(CO)CO,Y,-9.239768,0.0018286999999990172,-0.0018286999999990172,CCC(CO)(CO)CO.CCC#N
CC(C)CC(C)=O,OC(=O)C(c1ccccc1)=O,-10.28846272,877332,CC(=O)CC(C)C,O=C(O)C(=O)c1ccccc1,Y,-10.286417,0.0020457199999999176,0.0020457199999999176,O=C(O)C(=O)c1ccccc1.CC(=O)CC(C)C
COC(C)(C)C,FC(F)C(O)(C)C(F)F,-5.63330631,811271,COC(C)(C)C,CC(O)(C(F)F)C(F)F,Y,-5.6354017,0.0020953900000000303,-0.0020953900000000303,CC(O)(C(F)F)C(F)F.COC(C)(C)C
Cc1ncccc1C,Fc3c(F)c(F)c(C(c(c(F)c4F)c(F)c(F)c4F)c1c(F)c(c(F)c2F)c(c(F)c2F)c(F)c1F)c(F)c3F,-12.91330644,746586,Cc1cccnc1C,Fc1c(F)c(F)c(C(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c3c(F)c(F)c(F)c(F)c3c2F)c(F)c1F,Y,-12.910941,0.002365440000000163,0.002365440000000163,Fc1c(F)c(F)c(C(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c3c(F)c(F)c(F)c(F)c3c2F)c(F)c1F.Cc1cccnc1C
