solvent,solute,DGsolv_cosmo,index,can_smiles_solvent,can_smiles_solute,Atom_bond_type_overlap_with_exp,DGsolv,AE,Signed_Err,concat_smiles
Oc1cc(C)ccc1,Nc1cc(Cl)c(Cl)c(Cl)c1Cl,-10.44712776,403569,Cc1cccc(O)c1,Nc1cc(Cl)c(Cl)c(Cl)c1Cl,Y,-10.447116,1.1760000001359572e-05,1.1760000001359572e-05,Nc1cc(Cl)c(Cl)c(Cl)c1Cl.Cc1cccc(O)c1
c2nc1ccccc1cc2,OCC(CC1C3CC2CO)CC1C2C3,-14.83024949,31255,c1ccc2ncccc2c1,OCC1CC2C3CC(CO)C(C3)C2C1,Y,-14.830155,9.44900000003912e-05,9.44900000003912e-05,OCC1CC2C3CC(CO)C(C3)C2C1.c1ccc2ncccc2c1
CCOCC,FCO,-5.73115705,460947,CCOCC,OCF,Y,-5.731296,0.00013895000000019309,-0.00013895000000019309,OCF.CCOCC
CCCCNCCCC,CC(C)C(=O)N,-7.2724643,885172,CCCCNCCCC,CC(C)C(N)=O,Y,-7.272313,0.00015130000000063148,0.00015130000000063148,CC(C)C(N)=O.CCCCNCCCC
N#CCc1ccccc1,CN(C)C4C2CC3C(=C(O)C2(O)C(=O)C(=C(O)N)C4=O)C(c1c(C3(O)C)cccc1O)=O,-23.70865406,325759,N#CCc1ccccc1,CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,Y,-23.708403,0.00025106000000008066,0.00025106000000008066,CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12.N#CCc1ccccc1
OCCS,COCC=CC#N,-7.34323436,268569,OCCS,COCC=CC#N,Y,-7.342804,0.00043036000000018504,0.00043036000000018504,COCC=CC#N.OCCS
Oc1cc(C)ccc1,CC(C)=CCCC(C)=CCCC=O,-10.57812277,656027,Cc1cccc(O)c1,CC(C)=CCCC(C)=CCCC=O,Y,-10.577603,0.0005197700000003636,0.0005197700000003636,CC(C)=CCCC(C)=CCCC=O.Cc1cccc(O)c1
O,FC(C)OC(F)(F)C(F)(F)F,2.01469915,634715,O,CC(F)OC(F)(F)C(F)(F)F,Y,2.0141506,0.0005485500000004251,-0.0005485500000004251,CC(F)OC(F)(F)C(F)(F)F.O
CNC=O,FC(F)(F)C(O)C=O,-5.91594448,580420,CNC=O,O=CC(O)C(F)(F)F,Y,-5.9165845,0.0006400199999996303,-0.0006400199999996303,O=CC(O)C(F)(F)F.CNC=O
C#N,N#CN1CCCCC1,-11.09509993,317507,C#N,N#CN1CCCCC1,Y,-11.094343,0.0007569299999996559,0.0007569299999996559,N#CN1CCCCC1.C#N
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,OC(=O)CN(=O)=O,-4.32703728,913324,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,O=C(O)C[N+](=O)[O-],Y,-4.32625,0.0007872799999999458,0.0007872799999999458,O=C(O)C[N+](=O)[O-].CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C
CCOC(C)=O,COc(ccc1ncc2)cc1c2C(O)C3CC4CCN3CC4C=C,-19.55404784,260520,CCOC(C)=O,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,Y,-19.553251,0.0007968399999995768,0.0007968399999995768,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.CCOC(C)=O
OCC1CCCO1,O=c1[nH]c([nH]nc1)=O,-13.04476856,393294,OCC1CCCO1,O=c1cn[nH]c(=O)[nH]1,Y,-13.045584,0.0008154400000002227,-0.0008154400000002227,O=c1cn[nH]c(=O)[nH]1.OCC1CCCO1
CCCCOCCCC,O=C1NC2=C(NC=N2)C(=O)N1,-13.50485484,337898,CCCCOCCCC,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,Y,-13.505735,0.0008801599999994636,-0.0008801599999994636,O=c1[nH]c(=O)c2[nH]cnc2[nH]1.CCCCOCCCC
CNc1ccccc1,FC(F)(O)C(F)OC(F)(F)C(F)(F)F,-5.22539936,462447,CNc1ccccc1,OC(F)(F)C(F)OC(F)(F)C(F)(F)F,Y,-5.2263274,0.0009280399999997968,-0.0009280399999997968,OC(F)(F)C(F)OC(F)(F)C(F)(F)F.CNc1ccccc1
Nc1ccccc1,C=CS(c1ccccc1)(=O)=O,-11.91910587,909466,Nc1ccccc1,C=CS(=O)(=O)c1ccccc1,Y,-11.918137,0.0009688699999994554,0.0009688699999994554,C=CS(=O)(=O)c1ccccc1.Nc1ccccc1
CC(Cl)(Cl)Cl,FC(F)(F)C(C)(C(F)(F)F)C(C)(C(F)(F)F)C(F)(F)F,-4.69585869,458059,CC(Cl)(Cl)Cl,CC(C(F)(F)F)(C(F)(F)F)C(C)(C(F)(F)F)C(F)(F)F,Y,-4.694771,0.0010876899999994194,0.0010876899999994194,CC(C(F)(F)F)(C(F)(F)F)C(C)(C(F)(F)F)C(F)(F)F.CC(Cl)(Cl)Cl
CC(C)=O,Oc1c(C)c(C)c(C)c(C)c1C,-9.34227772,554279,CC(C)=O,Cc1c(C)c(C)c(O)c(C)c1C,Y,-9.3435135,0.0012357800000000196,-0.0012357800000000196,Cc1c(C)c(C)c(O)c(C)c1C.CC(C)=O
ClC(Cl)C(Cl)Cl,FC(F)(F)C(C)(C(F)(F)F)C(C)(C(F)(F)F)C(F)(F)F,-4.32373631,369640,ClC(Cl)C(Cl)Cl,CC(C(F)(F)F)(C(F)(F)F)C(C)(C(F)(F)F)C(F)(F)F,Y,-4.3224874,0.0012489100000001585,0.0012489100000001585,CC(C(F)(F)F)(C(F)(F)F)C(C)(C(F)(F)F)C(F)(F)F.ClC(Cl)C(Cl)Cl
CNc1ccccc1,CCCCCCCCCCC(=O)NC,-12.94999316,654982,CNc1ccccc1,CCCCCCCCCCC(=O)NC,Y,-12.948742,0.001251160000000695,0.001251160000000695,CCCCCCCCCCC(=O)NC.CNc1ccccc1
OCCO,OC2CC(CCC1C2)N1C,-9.94407281,961981,OCCO,CN1C2CCC1CC(O)C2,Y,-9.942764,0.001308809999999383,0.001308809999999383,CN1C2CCC1CC(O)C2.OCCO
