solvent,solute,DGsolv_cosmo,index,can_smiles_solvent,can_smiles_solute,Atom_bond_type_overlap_with_exp,DGsolv,AE,Signed_Err,concat_smiles
OC1CCCCC1,OS(c2c1ccccc1ccc2)(=O)=O,-16.73842051,961139,OC1CCCCC1,O=S(=O)(O)c1cccc2ccccc12,Y,-16.738628,0.00020748999999753437,-0.00020748999999753437,O=S(=O)(O)c1cccc2ccccc12.OC1CCCCC1
Cc1ccccc1N(=O)=O,Oc1ccc(O)nn1,-9.76962782,440364,Cc1ccccc1[N+](=O)[O-],Oc1ccc(O)nn1,Y,-9.769967,0.00033917999999921733,-0.00033917999999921733,Oc1ccc(O)nn1.Cc1ccccc1[N+](=O)[O-]
CCNC(C)=O,COC1=C2C(NC=C2C2=NC(N)=NC=C2)=NC=C1,-20.79804325,389062,CCNC(C)=O,COc1ccnc2[nH]cc(-c3ccnc(N)n3)c12,Y,-20.798462,0.00041875000000146656,-0.00041875000000146656,COc1ccnc2[nH]cc(-c3ccnc(N)n3)c12.CCNC(C)=O
N#CCc1ccccc1,OS(C)(=O)=O,-11.776498,506207,N#CCc1ccccc1,CS(=O)(=O)O,Y,-11.7760515,0.00044650000000068246,0.00044650000000068246,CS(=O)(=O)O.N#CCc1ccccc1
C#N,O=C2Nc1ccccc1CC2,-14.09171707,560994,C#N,O=C1CCc2ccccc2N1,Y,-14.091163,0.00055406999999974,0.00055406999999974,O=C1CCc2ccccc2N1.C#N
CCCCCCCCN(CCCCCCCC)CCCCCCCC,OCC#N,-5.11301455,372792,CCCCCCCCN(CCCCCCCC)CCCCCCCC,N#CCO,Y,-5.1136475,0.0006329499999999655,-0.0006329499999999655,N#CCO.CCCCCCCCN(CCCCCCCC)CCCCCCCC
OCC(O)CC,CN(C)C4C2CC3C(=C(O)C2(O)C(=O)C(=C4O)C(=O)N)C(c(c(O)ccc1Cl)c1C3(O)C)=O,-22.98263556,705092,CCC(O)CO,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,Y,-22.983358,0.000722440000000546,-0.000722440000000546,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12.CCC(O)CO
ClC(Cl)C(O)=O,O=NN1CCOCC1,-12.77453499,756203,O=C(O)C(Cl)Cl,O=NN1CCOCC1,Y,-12.773663,0.0008719899999984904,0.0008719899999984904,O=NN1CCOCC1.O=C(O)C(Cl)Cl
ClC(Cl)C(O)=O,COc1cc(CC=C)ccc1OC(C)=O,-12.89013224,517890,O=C(O)C(Cl)Cl,C=CCc1ccc(OC(C)=O)c(OC)c1,Y,-12.889243,0.0008892399999993472,0.0008892399999993472,C=CCc1ccc(OC(C)=O)c(OC)c1.O=C(O)C(Cl)Cl
OCCOCCCC,CNCCCNC,-7.98188011,360987,CCCCOCCO,CNCCCNC,Y,-7.982941,0.0010608900000006471,-0.0010608900000006471,CNCCCNC.CCCCOCCO
CCOP(OCC)(OCC)=O,O=C9c5ccc7c6c5c(c2ccccc92)ccc6c4ccc(c1ccccc81)c3c4c7ccc3C8=O,-28.87703915,848896,CCOP(=O)(OCC)OCC,O=C1c2ccccc2-c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)c1ccccc1-5,Y,-28.87812,0.0010808499999974686,-0.0010808499999974686,O=C1c2ccccc2-c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)c1ccccc1-5.CCOP(=O)(OCC)OCC
