solvent,solute,DGsolv_cosmo,index,can_smiles_solvent,can_smiles_solute,Atom_bond_type_overlap_with_exp,DGsolv,AE,Signed_Err,concat_smiles
N1CCCCC1,CC(=O)Nc1ccc(cc1)N(=O)=O,-17.24304766,150029,C1CCNCC1,CC(=O)Nc1ccc([N+](=O)[O-])cc1,Y,-17.242752,0.0002956599999990317,0.0002956599999990317,CC(=O)Nc1ccc([N+](=O)[O-])cc1.C1CCNCC1
C1OC1,CCCCCCCCC=CCCCCCCCC(OC(COC(CCCCCCCC=CCCCCCCCC)=O)COC(CCCCCCCC=CCCCCCCCC)=O)=O,-40.02646945,35493,C1CO1,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,Y,-40.02677,0.00030054999999862275,-0.00030054999999862275,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC.C1CO1
CCCCCCCCC=C,FC(F)(F)C(O)(O)C(F)(F)F,-3.95991771,313525,C=CCCCCCCCC,OC(O)(C(F)(F)F)C(F)(F)F,Y,-3.95916,0.0007577100000002446,0.0007577100000002446,OC(O)(C(F)(F)F)C(F)(F)F.C=CCCCCCCCC
ClC(Cl)Cl,CCC1(C)CC(=O)NC1=O,-9.05854955,149955,ClC(Cl)Cl,CCC1(C)CC(=O)NC1=O,Y,-9.057666,0.0008835500000010654,0.0008835500000010654,CCC1(C)CC(=O)NC1=O.ClC(Cl)Cl
ClCBr,Fc1[nH]c(F)c(F)c1F,-4.504782,616400,ClCBr,Fc1[nH]c(F)c(F)c1F,Y,-4.5037236,0.0010583999999997928,0.0010583999999997928,Fc1[nH]c(F)c(F)c1F.ClCBr
CCc1ccccc1,NNC(=O)C(=O)NN,-7.4503777,34931,CCc1ccccc1,NNC(=O)C(=O)NN,Y,-7.4514575,0.0010798000000002972,-0.0010798000000002972,NNC(=O)C(=O)NN.CCc1ccccc1
CCCCC(CO)CC,Nc1ccc(cc1)S(=O)(=O)NC(OC)=O,-16.31448889,923175,CCCCC(CC)CO,COC(=O)NS(=O)(=O)c1ccc(N)cc1,Y,-16.315758,0.001269109999999074,-0.001269109999999074,COC(=O)NS(=O)(=O)c1ccc(N)cc1.CCCCC(CC)CO
OCc1occc1,[NH3+]C(Cc1c[nH]c2c1cccc2)C([O-])=O,-20.02935515,997267,OCc1ccco1,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)[O-],Y,-20.027819,0.0015361499999997363,0.0015361499999997363,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)[O-].OCc1ccco1
CC(C)=C,Brc3cc2C(=O)C(Nc2c(Br)c3)=C(Nc1c(Br)c4)C(c1cc4Br)=O,-20.13753626,64437,C=C(C)C,O=C1C(=C2Nc3c(Br)cc(Br)cc3C2=O)Nc2c(Br)cc(Br)cc21,Y,-20.135939,0.0015972600000004888,0.0015972600000004888,O=C1C(=C2Nc3c(Br)cc(Br)cc3C2=O)Nc2c(Br)cc(Br)cc21.C=C(C)C
NCCC,c(cc2ccc4c6)c1ccc3ccc(ccc5c6)c7c3c1c2c4c75,-16.59110222,944715,CCCN,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,Y,-16.592781,0.0016787799999988806,-0.0016787799999988806,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61.CCCN
COC,ClO,-6.41193594,446973,COC,OCl,Y,-6.413716,0.0017800599999997502,-0.0017800599999997502,OCl.COC
ClC(Cl)C(O)=O,OCCC(C)CCC(CC)=CC,-12.46664605,268614,O=C(O)C(Cl)Cl,CC=C(CC)CCC(C)CCO,Y,-12.464816,0.0018300499999988062,0.0018300499999988062,CC=C(CC)CCC(C)CCO.O=C(O)C(Cl)Cl
ClCCCl,COc(ccc1n(c2C)C(c(cc3)ccc3Cl)=O)cc1c2CC(O)=O,-19.76220933,472955,ClCCCl,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Y,-19.760225,0.001984330000002643,0.001984330000002643,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1.ClCCCl
