solvent,solute,DGsolv_cosmo,index,can_smiles_solvent,can_smiles_solute,Atom_bond_type_overlap_with_exp,DGsolv,AE,Signed_Err,concat_smiles
CNc1ccccc1,O=N(c2ccccc2)=Cc1ccccc1,-13.18076176,541824,CNc1ccccc1,[O-][N+](=Cc1ccccc1)c1ccccc1,Y,-13.180808,4.624000000141848e-05,-4.624000000141848e-05,[O-][N+](=Cc1ccccc1)c1ccccc1.CNc1ccccc1
COc1ccccc1,NC1=NC2=C(NN=N2)C(O)=N1,-15.30483119,83162,COc1ccccc1,Nc1nc(O)c2[nH]nnc2n1,Y,-15.304761,7.019000000063613e-05,7.019000000063613e-05,Nc1nc(O)c2[nH]nnc2n1.COc1ccccc1
O,COS(O)(=O)=O,-10.82038994,763347,O,COS(=O)(=O)O,Y,-10.820275,0.00011493999999956372,0.00011493999999956372,COS(=O)(=O)O.O
CCOC(=O)c1ccccc1,Oc2c1ncccc1c(cc2)N(=O)=O,-11.59114409,936503,CCOC(=O)c1ccccc1,O=[N+]([O-])c1ccc(O)c2ncccc12,Y,-11.591027,0.00011708999999981984,0.00011708999999981984,O=[N+]([O-])c1ccc(O)c2ncccc12.CCOC(=O)c1ccccc1
CNC(C)=O,N1C=CC(=N1)C1=CN=C(S1)C1=CC=CC=C1,-18.05915775,763617,CNC(C)=O,c1ccc(-c2ncc(-c3cc[nH]n3)s2)cc1,Y,-18.059277,0.00011925000000090336,-0.00011925000000090336,c1ccc(-c2ncc(-c3cc[nH]n3)s2)cc1.CNC(C)=O
CC(C)c(cc1)ccc1C,CCOC(C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1N(=O)=O)=O,-18.04469329,249607,Cc1ccc(C(C)C)cc1,CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],Y,-18.044823,0.0001297099999995055,-0.0001297099999995055,CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-].Cc1ccc(C(C)C)cc1
NCCCC,c(ccc1c2ccc3s4)cc1ccc2c3cc4,-13.91809541,649476,CCCCN,c1ccc2c(c1)ccc1c3ccsc3ccc21,Y,-13.918234,0.00013859000000060462,-0.00013859000000060462,c1ccc2c(c1)ccc1c3ccsc3ccc21.CCCCN
OCCOCCN,COC(=O)c1ccccc1C,-6.69882062,849071,NCCOCCO,COC(=O)c1ccccc1C,Y,-6.6986446,0.00017602000000049856,0.00017602000000049856,COC(=O)c1ccccc1C.NCCOCCO
NCCN,COCCCC(F)(F)F,-2.85165757,212464,NCCN,COCCCC(F)(F)F,Y,-2.8514812,0.0001763700000001478,0.0001763700000001478,COCCCC(F)(F)F.NCCN
OCCOCC,CCCCCCCCCCCC(=O)N(C)C,-11.79317251,699451,CCOCCO,CCCCCCCCCCCC(=O)N(C)C,Y,-11.792981,0.00019151000000050544,0.00019151000000050544,CCCCCCCCCCCC(=O)N(C)C.CCOCCO
Fc1c(F)c(F)c(F)c(F)c1F,OC(=O)c1ccc(cc1)OC(=O)C(C)=C,-10.28310509,923637,Fc1c(F)c(F)c(F)c(F)c1F,C=C(C)C(=O)Oc1ccc(C(=O)O)cc1,Y,-10.2828245,0.0002805899999991368,0.0002805899999991368,C=C(C)C(=O)Oc1ccc(C(=O)O)cc1.Fc1c(F)c(F)c(F)c(F)c1F
OCCCl,FC(F)OC(F)(F)OC(F)F,-2.2067853,573840,OCCCl,FC(F)OC(F)(F)OC(F)F,Y,-2.2070994,0.0003141000000002059,-0.0003141000000002059,FC(F)OC(F)(F)OC(F)F.OCCCl
OCCC#N,CCN(CC)c(cc1)ccc1N,-10.37936324,333024,N#CCCO,CCN(CC)c1ccc(N)cc1,Y,-10.379004,0.0003592399999998719,0.0003592399999998719,CCN(CC)c1ccc(N)cc1.N#CCCO
O1CCCCC1,OC(N)C,-5.53596773,2450,C1CCOCC1,CC(N)O,Y,-5.536339,0.00037126999999959054,-0.00037126999999959054,CC(N)O.C1CCOCC1
CCCCCCCC,NC1=NC2=CC3=C(C=C2C(=O)N1)N=CN3,-12.56949859,148699,CCCCCCCC,Nc1nc2cc3[nH]cnc3cc2c(=O)[nH]1,Y,-12.569961,0.000462409999999025,-0.000462409999999025,Nc1nc2cc3[nH]cnc3cc2c(=O)[nH]1.CCCCCCCC
CC(=O)c1ccccc1,CCCCCCCOC(=O)c1ccc(C(OCCCCCCC)=O)cc1C(OCCCCCCC)=O,-22.23602921,145281,CC(=O)c1ccccc1,CCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCC)c(C(=O)OCCCCCCC)c1,Y,-22.236507,0.00047778999999792404,-0.00047778999999792404,CCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCC)c(C(=O)OCCCCCCC)c1.CC(=O)c1ccccc1
COCCOC,Oc1ccc(cc1)NC(C)=O,-15.08569005,663719,COCCOC,CC(=O)Nc1ccc(O)cc1,Y,-15.085206,0.0004840500000007353,0.0004840500000007353,CC(=O)Nc1ccc(O)cc1.COCCOC
