solvent,solute,DGsolv_cosmo,index,can_smiles_solvent,can_smiles_solute,Atom_bond_type_overlap_with_exp,DGsolv,AE,Signed_Err,concat_smiles
CN1CCCC1=O,Oc1cc(cc(c1)N(=O)=O)N(=O)=O,-18.15630299,235038,CN1CCCC1=O,O=[N+]([O-])c1cc(O)cc([N+](=O)[O-])c1,Y,-18.156342000000002,3.901000000183785e-05,-3.901000000183785e-05,O=[N+]([O-])c1cc(O)cc([N+](=O)[O-])c1.CN1CCCC1=O
CN(=O)=O,Nc1[nH]nnn1,-15.93006315,183960,C[N+](=O)[O-],Nc1nnn[nH]1,Y,-15.929846,0.0002171500000009985,0.0002171500000009985,Nc1nnn[nH]1.C[N+](=O)[O-]
CS(C)=O,CCP(CC)CC,-3.73908484,866031,CS(C)=O,CCP(CC)CC,Y,-3.7387257000000007,0.00035913999999914736,0.00035913999999914736,CCP(CC)CC.CS(C)=O
Cc1ccccc1N(=O)=O,OC(=O)c(cccc1O)c1O,-10.59008847,858073,Cc1ccccc1[N+](=O)[O-],O=C(O)c1cccc(O)c1O,Y,-10.589609,0.0004794700000001484,0.0004794700000001484,O=C(O)c1cccc(O)c1O.Cc1ccccc1[N+](=O)[O-]
BrCCBr,NCCCCC([NH3+])C([O-])=O,-13.27083637,989619,BrCCBr,NCCCCC([NH3+])C(=O)[O-],Y,-13.271432999999998,0.0005966299999986546,-0.0005966299999986546,NCCCCC([NH3+])C(=O)[O-].BrCCBr
C(c2ccccc2)c1ccccc1,O=C(N)C#CC(=O)N,-10.49573292,644975,c1ccc(Cc2ccccc2)cc1,NC(=O)C#CC(N)=O,Y,-10.496692,0.0009590799999994459,-0.0009590799999994459,NC(=O)C#CC(N)=O.c1ccc(Cc2ccccc2)cc1
CC(C)N(=O)=O,Nc2ncnc1c2ncn1C,-12.33204446,302908,CC(C)[N+](=O)[O-],Cn1cnc2c(N)ncnc21,Y,-12.333008,0.0009635399999989858,-0.0009635399999989858,Cn1cnc2c(N)ncnc21.CC(C)[N+](=O)[O-]
CCCCN(CCCC)C=O,OC(=O)c1[nH]c(=O)[nH]c(=O)c1,-18.44105984,375750,CCCCN(C=O)CCCC,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,Y,-18.439783,0.0012768400000027214,0.0012768400000027214,O=C(O)c1cc(=O)[nH]c(=O)[nH]1.CCCCN(C=O)CCCC
CC(CC1)CS1(=O)=O,Cn1cnc2NC(N)=NC(c21)=O,-22.20715833,29273,CC1CCS(=O)(=O)C1,Cn1cnc2[nH]c(N)nc(=O)c21,Y,-22.208645,0.0014866700000020217,-0.0014866700000020217,Cn1cnc2[nH]c(N)nc(=O)c21.CC1CCS(=O)(=O)C1
ClC(Cl)Cl,FC1(F)C(F)(F)N=C(F)C(F)(F)C1(F)F,-3.08141479,907173,ClC(Cl)Cl,FC1=NC(F)(F)C(F)(F)C(F)(F)C1(F)F,Y,-3.082926,0.001511209999999874,-0.001511209999999874,FC1=NC(F)(F)C(F)(F)C(F)(F)C1(F)F.ClC(Cl)Cl
