solvent,solute,DGsolv_cosmo,index,can_smiles_solvent,can_smiles_solute,Atom_bond_type_overlap_with_exp,DGsolv,AE,Signed_Err,concat_smiles
OCCOCCOCC,OC(=O)C1=CC=CC2=C1NC(=C2C1=CC=CC=C1)C1=CC=CC=C1,-19.97383826,241978,CCOCCOCCO,O=C(O)c1cccc2c(-c3ccccc3)c(-c3ccccc3)[nH]c12,Y,-19.97382,1.826000000093586e-05,1.826000000093586e-05,O=C(O)c1cccc2c(-c3ccccc3)c(-c3ccccc3)[nH]c12.CCOCCOCCO
FC(F)C,O=C(N)C=CC(=O)N,-12.56657119,324676,CC(F)F,NC(=O)C=CC(N)=O,Y,-12.566698,0.00012681000000114295,-0.00012681000000114295,NC(=O)C=CC(N)=O.CC(F)F
CCCCOCCCC,O=N(=O)C(N(=O)=O)N(=O)=O,-6.27234454,956718,CCCCOCCCC,O=[N+]([O-])C([N+](=O)[O-])[N+](=O)[O-],Y,-6.272157,0.000187539999999764,0.000187539999999764,O=[N+]([O-])C([N+](=O)[O-])[N+](=O)[O-].CCCCOCCCC
ClC1CCCCC1,C3(COCCOc2ccccc2OCCOCCOCCOc1ccccc1OCCO3),-26.09486071,949948,ClC1CCCCC1,c1ccc2c(c1)OCCOCCOCCOc1ccccc1OCCOCCOCCO2,Y,-26.09506,0.00019929000000118435,-0.00019929000000118435,c1ccc2c(c1)OCCOCCOCCOc1ccccc1OCCOCCOCCO2.ClC1CCCCC1
CC(=C)C#C,c(cc2ccc4c6)c1ccc3ccc(ccc5c6)c7c3c1c2c4c75,-16.56116925,118899,C#CC(=C)C,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,Y,-16.560963,0.000206249999997965,0.000206249999997965,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61.C#CC(=C)C
OC(C)=O,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(C(F)(F)F)=O,-0.431628,601101,CC(=O)O,O=C(C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Y,-0.43185282,0.00022482000000001445,-0.00022482000000001445,O=C(C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.CC(=O)O
O=S=O,S=C2SC1CCCCC1S2,-12.96969859,558626,O=S=O,S=C1SC2CCCCC2S1,Y,-12.969443,0.00025559000000008325,0.00025559000000008325,S=C1SC2CCCCC2S1.O=S=O
CS(C)=O,OC(C1CCC(CC1)C(O)=O)=O,-18.41717207,739865,CS(C)=O,O=C(O)C1CCC(C(=O)O)CC1,Y,-18.41747,0.00029793000000211123,-0.00029793000000211123,O=C(O)C1CCC(C(=O)O)CC1.CS(C)=O
OCCc1ccccc1,CN(C)CCc(cc1)ccc1O,-12.53865831,600389,OCCc1ccccc1,CN(C)CCc1ccc(O)cc1,Y,-12.538967,0.00030868999999889013,-0.00030868999999889013,CN(C)CCc1ccc(O)cc1.OCCc1ccccc1
Oc1cc(C)ccc1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-19.0739978,558083,Cc1cccc(O)c1,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,Y,-19.073545,0.00045280000000147425,0.00045280000000147425,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC.Cc1cccc(O)c1
